Orf;Name;Desc;"48hr VAN vs 48 hr NO ABX log2FC";"48hr VAN vs 48 hr NO ABX Adj. p-value";"48hr LZD vs 48 hr NO ABX log2FC";"48hr LZD vs 48 hr NO ABX Adj. p-value";"48hr CPT vs 48 hr NO ABX log2FC";"48hr CPT vs 48 hr NO ABX Adj. p-value";"48hr DEL vs 48 hr NO ABX log2FC";"48hr DEL vs 48 hr NO ABX Adj. p-value"
SAUSA300_RS07360;-;nucleotide pyrophosphohydrolase;1.96;0.81531;1.34;0.52664;1.13;0.88965;1.42;0.38079
SAUSA300_RS07370;-;DUF1405 domain-containing protein;1.06;0.42964;0.1;1;0.15;0.96952;-0.04;1
SAUSA300_RS07375;-;YpiB family protein;0.38;1;-0.8;0.30491;-0.51;0.802;-0.74;0.45129
SAUSA300_RS07380;-;hypothetical protein;0.62;0.77745;-0.14;0.98684;0.07;1;0.37;0.62165
SAUSA300_RS07385;aroA;3-phosphoshikimate 1-carboxyvinyltransferase;-1.52;0.4749;-1.31;0.53236;-1.14;0.61022;-2.18;0.14834
SAUSA300_RS07390;aroB;3-dehydroquinate synthase;-1.03;0.7041;0.35;0.97452;0.39;0.94983;-0.09;1
SAUSA300_RS07395;aroC;chorismate synthase;-2.33;0.0961;-1.4;0.2945;-1.2;0.44542;-1.54;0.35809
SAUSA300_RS07400;-;hypothetical protein;-2.19;0.01727;-0.8;0.29978;-0.34;1;-0.5;0.67537
SAUSA300_RS07405;ndk;nucleoside-diphosphate kinase;0.78;1;1.22;0.08931;1.34;0.13458;1.39;0.30723
SAUSA300_RS07435;-;NAD(P)H-dependent glycerol-3-phosphate dehydrogenase;0.05;1;1.06;0.40513;0.87;0.80514;1.25;0.51708
SAUSA300_RS07445;rpsA;30S ribosomal protein S1;0.94;0.89432;0.48;0.98589;0.11;1;-0.44;1
SAUSA300_RS07450;-;hypothetical protein;1.02;0.94265;0.22;1;-0.29;1;0.68;0.89558
SAUSA300_RS07460;-;hypothetical protein;0.17;1;1.56;0.39994;-0.4;1;0.7;1
SAUSA300_RS07470;-;asparaginase;-0.17;1;0.83;0.01559;1.21;0;0.35;0.74334
SAUSA300_RS07475;-;YpdA family putative bacillithiol disulfide reductase;1.27;0.37201;0.4;0.5783;0.19;0.9646;0.42;0.58921
SAUSA300_RS07480;-;hypothetical protein;-4.61;0.91856;0.02;1;-2.64;0.98416;0.32;1
SAUSA300_RS07490;-;ATP-dependent DNA helicase;-0.03;1;-0.48;0.77285;-0.46;0.80514;-0.3;0.88532
SAUSA300_RS07495;-;helix-turn-helix domain-containing protein;-0.03;1;-0.62;0.55493;-0.3;0.98416;-0.36;0.82127
SAUSA300_RS07500;-;ferredoxin;2.36;1;1.24;1;1.89;0.64931;1.75;0.62165
SAUSA300_RS07505;-;ECF transporter S component;0.06;1;-0.5;0.62465;-0.48;0.80514;-0.21;1
SAUSA300_RS07510;-;hypothetical protein;-0.69;1;1.38;0.55493;1.68;0.74561;1.17;0.62165
SAUSA300_RS07515;-;DUF1672 domain-containing protein;-1.05;0.45917;-0.76;0.42;-0.47;0.85164;-0.7;0.49488
SAUSA300_RS07520;-;hypothetical protein;0.46;1;0.49;0.88768;0.77;0.67522;0.52;0.71684
SAUSA300_RS07525;-;DUF1672 domain-containing protein;0.22;1;0.13;1;-0.1;1;0.3;0.79675
SAUSA300_RS07530;-;DUF1672 domain-containing protein;0.49;1;0.08;1;0.4;0.82665;0.32;0.96793
SAUSA300_RS07535;-;hypothetical protein;-0.09;1;1.18;0.63204;0.37;1;0.58;0.71684
SAUSA300_RS07540;lukF-PV;Panton-Valentine bi-component leukocidin subunit F;0.4;0.74329;-0.43;0.37268;-0.35;0.5947;-0.15;0.98454
SAUSA300_RS07545;lukS-PV;Panton-Valentine bi-component leukocidin subunit S;-0.45;0.85259;-0.16;0.97452;0.08;1;-0.14;1
SAUSA300_RS07550;-;N-acetylmuramoyl-L-alanine amidase;-0.13;1;-0.31;0.64282;-0.1;1;-0.12;1
SAUSA300_RS07555;-;phage holin;0.52;1;0.5;0.63204;0.52;0.61022;0.58;0.69663
SAUSA300_RS07560;-;DUF2951 domain-containing protein;0.99;1;0.84;0.33553;0.89;0.48613;0.59;0.75246
SAUSA300_RS07565;-;XkdX family protein;0.39;1;-0.04;1;0.14;1;0.06;1
SAUSA300_RS07570;-;DUF2977 domain-containing protein;0.55;1;0.37;0.9686;0.46;0.76849;-0.12;1
SAUSA300_RS07575;-;BppU family phage baseplate upper protein;-0.82;0.2406;-0.02;1;0.18;1;-0.03;1
SAUSA300_RS07580;-;minor structural protein;0.65;0.61256;0.24;0.77889;0.21;0.87315;0.14;0.9739
SAUSA300_RS07585;-;hypothetical protein;2.42;1;-1.33;0.87871;-0.33;1;-1.63;0.92617
SAUSA300_RS07590;-;prophage endopeptidase tail family protein;-0.03;1;-0.15;0.90175;-0.25;0.76849;-0.45;0.29088
SAUSA300_RS07595;-;phage tail family protein;-0.02;1;0.44;0.62465;0.67;0.46383;0.26;1
SAUSA300_RS07600;-;phage tail tape measure protein;-0.04;1;-0.37;0.16894;-0.21;0.72322;-0.27;0.5614
SAUSA300_RS07605;-;hypothetical protein;-0.22;1;1.01;0.98684;0.22;1;-0.17;1
SAUSA300_RS07610;-;hypothetical protein;0.18;1;-0.8;0.61467;-1.02;0.75076;-0.86;0.71684
SAUSA300_RS07615;-;Ig-like domain-containing protein;-1.4;0.74329;-0.95;0.78619;-0.65;0.98022;-0.53;0.96793
SAUSA300_RS07620;-;tail protein;0.24;1;-1.06;0.15362;-0.83;0.37151;-0.51;0.74492
SAUSA300_RS07625;-;DUF3168 domain-containing protein;0.73;0.69065;-0.45;0.7068;-0.47;0.802;-0.69;0.40935
SAUSA300_RS07630;-;hypothetical protein;-0.19;1;-0.28;1;-0.22;1;0.22;1
SAUSA300_RS07635;-;hypothetical protein;-0.91;0.72791;0.85;0.39114;0.85;0.61022;0.66;0.50605
SAUSA300_RS07640;-;head-tail connector protein;-2.03;0.08187;-0.97;0.32927;0.01;1;-0.35;0.961
SAUSA300_RS07645;-;phage major capsid protein;-0.23;1;0.04;1;-0.3;0.97418;0.31;0.94334
SAUSA300_RS07650;-;Clp protease ClpP;0.28;1;-0.69;0.42241;-0.09;1;-0.53;0.60801
SAUSA300_RS07655;-;phage portal protein;-0.04;1;-0.5;0.53236;-0.01;1;-0.01;1
SAUSA300_RS07660;-;terminase large subunit;-0.43;0.87915;-0.08;1;-0.13;1;-0.11;1
SAUSA300_RS07665;-;P27 family phage terminase small subunit;1.12;0.96622;-1.13;1;0.18;1;-0.83;1
SAUSA300_RS07670;-;HNH endonuclease;0.41;1;-0.63;0.7068;-0.29;1;0.17;1
SAUSA300_RS07675;-;transcriptional regulator;-0.64;0.96622;0;1;-0.24;1;-0.39;0.93411
SAUSA300_RS07680;-;DEAD/DEAH box helicase;0.47;0.79858;-0.07;1;0.11;1;-0.08;1
SAUSA300_RS07685;-;VRR-NUC domain-containing protein;-1.16;0.33499;-0.47;0.88768;-0.71;0.75076;-0.39;0.93411
SAUSA300_RS07695;-;virulence-associated E family protein;-0.08;1;-0.27;0.62465;-0.2;0.90643;-0.27;0.59265
SAUSA300_RS07700;-;DUF1514 family protein;1.26;0.98197;-0.03;1;0.42;1;0.31;0.97746
SAUSA300_RS07705;-;transcriptional activator RinB;-0.06;1;0.43;0.77889;-0.25;0.93389;0.29;0.98563
SAUSA300_RS07710;-;hypothetical protein;-0.54;0.99124;-0.18;1;-0.15;1;-0.12;1
SAUSA300_RS07715;-;hypothetical protein;-2.39;0.23253;0.09;1;0.33;0.98675;-0.12;1
SAUSA300_RS07720;-;hypothetical protein;-1.68;0.4516;-1.14;0.64282;-0.66;0.9646;-0.87;0.87719
SAUSA300_RS07725;-;DUF1381 domain-containing protein;0.03;1;0.13;1;-0.48;1;0.06;1
SAUSA300_RS07730;-;dUTP diphosphatase;-0.76;0.69065;-0.44;0.63204;-0.26;0.96952;-0.33;0.83319
SAUSA300_RS07735;-;DUF1024 family protein;-0.27;1;0.25;0.99937;0.48;1;0.71;0.71684
SAUSA300_RS07740;-;SAV1978 family virulence-associated passenger protein;0.06;1;-0.64;0.77889;0;1;-0.07;1
SAUSA300_RS07745;-;hypothetical protein;-0.03;1;-0.45;1;-0.13;1;-0.5;1
SAUSA300_RS07750;-;DUF3310 domain-containing protein;-0.91;0.88771;-0.66;0.86942;-0.36;1;-0.68;0.98563
SAUSA300_RS07755;-;PVL family protein;0.9;1;0.96;0.5783;0.3;1;0.68;0.52172
SAUSA300_RS07760;-;DUF3113 family protein;-0.99;0.62937;-0.21;0.98684;0.38;0.98022;-0.12;1
SAUSA300_RS07765;-;DNA polymerase;-1.15;0.0484;-0.41;0.52664;-0.31;0.72322;-0.44;0.59265
SAUSA300_RS07770;-;DUF2815 family protein;0.46;1;0.06;1;-0.34;1;0.06;1
SAUSA300_RS07775;-;DUF2800 domain-containing protein;-0.68;0.39808;0.2;0.89186;0.24;0.8348;0.14;0.9739
SAUSA300_RS07780;-;hypothetical protein;-0.75;0.81531;-0.36;0.89186;-0.62;0.72322;-0.43;0.87719
SAUSA300_RS07785;-;DUF1108 family protein;1.73;0.99554;0.58;0.61467;0.84;0.7907;0.44;1
SAUSA300_RS07790;-;DUF2482 family protein;1.39;0.99124;-0.59;0.81241;-0.38;0.97418;-0.96;0.58007
SAUSA300_RS07795;-;hypothetical protein;-2.76;0.33499;-0.8;0.92903;-0.93;0.97418;-0.7;0.98563
SAUSA300_RS07800;-;DUF1270 domain-containing protein;-2.52;0.42964;-0.91;1;-1.51;0.74561;-1.03;0.96793
SAUSA300_RS07805;-;helix-turn-helix domain-containing protein;-0.24;1;-0.36;1;-0.36;1;-0.11;1
SAUSA300_RS07810;-;hypothetical protein;0.48;1;0.35;0.98589;0.66;0.90823;0.58;0.86536
SAUSA300_RS07815;-;hypothetical protein;0.71;0.85259;-0.36;0.61467;-0.27;0.98416;-0.59;0.45129
SAUSA300_RS07820;-;helix-turn-helix domain-containing protein;0.99;0.91856;0.97;0.61467;1.55;0.40231;1.98;0.1527
SAUSA300_RS07830;-;hypothetical protein;-0.54;0.89432;-0.12;1;-0.07;1;-0.23;1
SAUSA300_RS07835;-;hypothetical protein;0.79;0.91856;-0.25;1;-0.22;1;-0.05;1
SAUSA300_RS07840;-;hypothetical protein;0.07;1;-0.06;1;-0.34;0.96469;-0.86;0.47619
SAUSA300_RS07845;-;hypothetical protein;0.28;1;-0.18;1;0.01;1;-0.18;1
SAUSA300_RS07850;-;hypothetical protein;-2.14;0.0052;-1.33;0.02315;-0.53;0.61022;-0.93;0.34172
SAUSA300_RS07855;-;site-specific integrase;0.84;0.2948;-0.23;0.88768;-0.03;1;-0.36;0.71684
SAUSA300_RS07865;-;DUF1672 domain-containing protein;-0.01;1;0.12;1;-0.44;0.5947;-0.38;0.71063
SAUSA300_RS07870;srrB;two-component system sensor histidine kinase SrrB;0.35;1;-0.26;1;-0.58;0.75076;-0.33;0.96793
SAUSA300_RS07880;-;rRNA pseudouridine synthase;-1.03;0.77745;0.2;1;-0.09;1;0.19;1
SAUSA300_RS07885;scpB;SMC-Scp complex subunit ScpB;2.13;1;0.54;1;1.02;0.55732;2.17;0.36219
SAUSA300_RS07890;-;segregation/condensation protein A;0.62;1;-0.53;1;0.29;1;1.21;0.59265
SAUSA300_RS07895;-;DUF309 domain-containing protein;-0.87;0.77745;0.09;1;0.13;1;-0.2;1
SAUSA300_RS07900;xerD;site-specific tyrosine recombinase XerD;-0.46;1;-0.46;1;0.48;1;-0.46;1
SAUSA300_RS07910;-;NUDIX hydrolase;-1.54;0.25655;-0.26;1;0.14;1;-0.14;1
SAUSA300_RS07915;-;aldo/keto reductase;1.02;0.85259;-0.08;1;0.11;1;-0.39;1
SAUSA300_RS07920;-;hypothetical protein;-0.91;0.99124;-0.52;1;0.09;1;-0.08;1
SAUSA300_RS07925;-;SDR family oxidoreductase;0.78;0.85259;0.47;0.31189;0.59;0.22509;0.02;1
SAUSA300_RS07930;proC;pyrroline-5-carboxylate reductase;-0.38;0.8278;0.15;0.94065;0.21;0.96469;0.22;0.85478
SAUSA300_RS07945;-;AraC family transcriptional regulator;0.26;1;0.2;0.99937;0.71;0.27013;0.19;1
SAUSA300_RS07950;-;alpha-glucosidase;0.73;0.49397;0.01;1;-0.07;1;0.08;1
SAUSA300_RS07955;-;LacI family DNA-binding transcriptional regulator;0.14;1;-0.54;0.40513;-0.09;1;-0.11;1
SAUSA300_RS07960;-;hypothetical protein;-1;0.62937;0.79;0.52664;0.47;0.99761;-0.06;1
SAUSA300_RS07965;-;VOC family protein;-0.7;0.94265;0.22;0.94943;0.08;1;0.17;1
SAUSA300_RS07975;-;tripeptidase T;-0.01;1;-0.22;1;0.46;0.98416;0.21;1
SAUSA300_RS07980;prli42;stressosome-associated protein Prli42;0.24;1;-0.2;1;0.27;1;-0.07;1
SAUSA300_RS07985;-;aromatic acid exporter family protein;-0.48;0.85259;-0.32;0.845;-0.23;0.99761;-0.43;0.69663
SAUSA300_RS07990;-;BrxA/BrxB family bacilliredoxin;-0.22;1;1.69;0.20793;1.72;0.11352;1.89;0.08223
SAUSA300_RS07995;-;2-oxo acid dehydrogenase subunit E2;1.84;0.97212;0.45;0.94943;-0.56;0.87315;0.18;1
SAUSA300_RS08015;recN;DNA repair protein RecN;-0.79;0.557;-0.85;0.26158;-0.47;0.95945;0.23;1
SAUSA300_RS08020;argR;transcriptional regulator ArgR;-2.53;0.62937;-2.39;0.78619;-2.54;0.7907;-2.54;0.74334
SAUSA300_RS08025;-;polyprenyl synthetase family protein;1.01;1;2.18;0.05982;2.87;0.00401;2.21;0.25374
SAUSA300_RS08035;xseA;exodeoxyribonuclease VII large subunit;1;0.69065;1.36;0.13951;1.56;0;0.83;0.74334
SAUSA300_RS08040;nusB;transcription antitermination factor NusB;0.83;1;1.83;0.77889;0.84;0.99975;0.78;0.92432
SAUSA300_RS08045;-;Asp23/Gls24 family envelope stress response protein;3.05;0.99124;1.26;0.98684;0.76;0.8831;0.25;1
SAUSA300_RS08060;-;IS30 family transposase;-0.65;0.7041;-0.27;0.8264;0.07;1;-0.46;0.63899
SAUSA300_RS08065;-;transposase;0.66;0.63928;-0.1;1;-0.17;0.98853;-0.32;0.74492
SAUSA300_RS08070;-;cystatin-like fold lipoprotein;0.39;0.98491;0.46;0.49996;0.25;0.94332;0.31;0.79675
SAUSA300_RS08075;-;hypothetical protein;0.78;0.67203;-0.05;1;-0.08;1;-0.36;0.87719
SAUSA300_RS08080;-;CHAP domain-containing protein;-0.47;0.90275;-0.3;0.6838;0.09;1;-0.3;0.90306
SAUSA300_RS08085;-;membrane protein;-0.53;0.49902;-0.31;0.4932;-0.05;1;-0.12;1
SAUSA300_RS08090;-;FtsK/SpoIIIE domain-containing protein;0.4;0.63928;-0.1;0.99426;-0.12;0.98022;-0.16;0.95383
SAUSA300_RS08095;-;ATP-binding protein;-0.17;0.99946;-0.2;0.78619;0.15;0.89681;-0.17;0.79675
SAUSA300_RS08100;-;TcpE family conjugal transfer membrane protein;0.74;0.87915;-0.05;1;-0.15;1;-0.27;1
SAUSA300_RS08105;-;TcpD family membrane protein;1.66;0.59709;0.55;0.61467;0.45;0.5947;0.59;0.47213
SAUSA300_RS08110;-;conjugal transfer protein;0.57;0.63283;0.06;1;0.11;0.98416;-0.08;1
SAUSA300_RS08115;-;replication initiation factor domain-containing protein;0.48;0.98197;-0.3;0.79712;-0.28;0.90823;-0.2;0.97746
SAUSA300_RS08120;-;hypothetical protein;-0.48;0.85259;-0.7;0.28909;-0.29;0.88965;-0.45;0.74334
SAUSA300_RS08125;-;DUF961 family protein;0.9;0.87915;0.47;0.401;0.43;0.5947;-0.1;1
SAUSA300_RS08130;-;hypothetical protein;-1.09;0.7041;-0.31;1;-0.38;1;-0.37;1
SAUSA300_RS08135;efp;elongation factor P;-0.68;1;-0.57;1;-1.99;1;-1.73;1
SAUSA300_RS08140;-;aminopeptidase P family protein;-0.92;0.7041;0.02;1;0.22;1;0.02;1
SAUSA300_RS08150;-;membrane protein;-1.07;0.53608;0.34;0.86447;0.15;1;0.34;1
SAUSA300_RS08155;-;lipoate--protein ligase family protein;-1.33;0.05104;0.16;1;0.36;0.94983;0.51;0.59265
SAUSA300_RS08160;-;rhodanese-like domain-containing protein;-0.91;0.47069;0.29;0.95324;0.56;0.49936;0.16;1
SAUSA300_RS08165;gcvPB;aminomethyl-transferring glycine dehydrogenase subunit GcvPB;0.25;0.99124;0.18;0.8264;0.21;0.87315;0.05;1
SAUSA300_RS08170;gcvPA;aminomethyl-transferring glycine dehydrogenase subunit GcvPA;0.28;1;0.01;1;0.25;0.88965;0.04;1
SAUSA300_RS08175;gcvT;glycine cleavage system aminomethyltransferase GcvT;0.06;1;0;1;0.27;0.96469;0.21;1
SAUSA300_RS08180;-;shikimate kinase;-2.6;0.21005;-1.42;0.43338;-0.82;0.61022;-1.39;0.52631
SAUSA300_RS08185;-;hypothetical protein;0.61;1;-0.35;0.97452;0.52;0.90823;0.11;1
SAUSA300_RS08190;-;prepilin-type N-terminal cleavage/methylation domain-containing protein;0.23;1;0.1;1;0.05;1;0;1
SAUSA300_RS08195;-;hypothetical protein;-0.25;1;-0.03;1;-0.13;1;-0.48;0.45129
SAUSA300_RS08200;-;type II secretion system GspH family protein;0.88;0.8278;-0.43;0.62465;-0.13;1;0.22;0.98563
SAUSA300_RS08205;-;prepilin-type N-terminal cleavage/methylation domain-containing protein;-0.82;0.66142;0.23;0.96117;1.1;0.20741;0.68;0.60801
SAUSA300_RS08210;-;type II secretion system F family protein;0.18;1;-0.39;0.53236;-0.31;0.802;-0.43;0.59265
SAUSA300_RS08215;-;GspE/PulE family protein;0.22;1;-0.29;0.94943;-0.23;0.99975;-0.41;0.961
SAUSA300_RS08220;-;MBL fold metallo-hydrolase;-0.11;1;-0.31;0.75694;-0.13;1;-0.36;0.67537
SAUSA300_RS08225;-;MTH1187 family thiamine-binding protein;-0.65;1;-0.14;1;0.21;1;-0.06;1
SAUSA300_RS08230;-;ROK family glucokinase;-0.19;1;0.02;1;0.33;0.75076;-0.05;1
SAUSA300_RS08235;-;YqgQ family protein;0.25;1;-0.48;0.55493;-0.38;0.94332;0.18;1
SAUSA300_RS08240;-;rhomboid family intramembrane serine protease;-0.99;0.89432;0.01;1;0.77;0.94332;-0.18;1
SAUSA300_RS08245;-;5-formyltetrahydrofolate cyclo-ligase;-1.24;0.69065;-1.11;0.77889;0.97;0.8831;-1.52;0.59265
SAUSA300_RS08250;rpmG;50S ribosomal protein L33;0.39;1;-0.55;0.9686;-0.5;0.99975;-0.55;0.96793
SAUSA300_RS08255;-;penicillin-binding protein 2;-0.47;0.81531;-0.4;0.66252;0.28;0.8348;0.05;1
SAUSA300_RS08260;-;superoxide dismutase;1.85;1;3.38;0.07574;2.4;0.09579;1.81;0.59265
SAUSA300_RS08265;-;transcriptional repressor;-2.18;0.09081;-0.42;0.8264;-0.49;0.94332;-0.19;1
SAUSA300_RS08270;-;metal ABC transporter permease;0.37;1;-0.21;0.99426;0.38;0.99166;0;1
SAUSA300_RS08275;-;metal ABC transporter ATP-binding protein;-0.85;0.99124;-0.56;0.92903;-0.6;0.97418;-0.44;0.98454
SAUSA300_RS08280;-;deoxyribonuclease IV;0.47;1;0.19;1;0.98;0.10553;0.38;0.76816
SAUSA300_RS08285;-;DEAD/DEAH box helicase;-0.72;1;-0.39;0.89186;0.08;1;-0.63;0.67537
SAUSA300_RS08290;-;Nif3-like dinuclear metal center hexameric protein;-0.46;0.91262;-0.78;0.06618;-0.31;0.92568;-0.66;0.32488
SAUSA300_RS08295;-;tRNA (adenine(22)-N(1))-methyltransferase TrmK;-0.95;1;0.53;1;0.14;1;0.34;1
SAUSA300_RS08310;-;kinase/pyrophosphorylase;0.04;1;0.57;0.87871;0.99;0.48613;0.24;1
SAUSA300_RS08315;-;helix-turn-helix transcriptional regulator;0.73;0.74329;-0.27;0.91776;-0.27;0.95945;-0.19;1
SAUSA300_RS08335;cdd;cytidine deaminase;-0.57;0.99226;-0.57;0.98684;1.6;0.90823;-0.57;1
SAUSA300_RS08340;-;diacylglycerol kinase;3.3;0.76439;2.61;0.09618;2.57;0.20153;1.9;0.31777
SAUSA300_RS08350;-;PhoH family protein;0.7;0.87915;-0.11;1;-0.29;1;0.11;1
SAUSA300_RS08355;-;hypothetical protein;1.35;0.72791;1.1;0.24951;0.77;0.5947;0.85;0.59265
SAUSA300_RS08360;floA;flotillin-like protein FloA;0.15;1;0.43;0.53236;0.47;0.5947;0.54;0.59265
SAUSA300_RS08365;-;hypothetical protein;0.06;1;-0.33;1;0.02;1;0.1;1
SAUSA300_RS08375;mtaB;tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB;-1.69;0;-0.51;0.46678;-0.36;0.91805;-0.38;0.74492
SAUSA300_RS08380;-;16S rRNA (uracil(1498)-N(3))-methyltransferase;-0.45;1;-0.51;0.64282;-0.88;0.12651;-0.76;0.50605
SAUSA300_RS08385;prmA;50S ribosomal protein L11 methyltransferase;-0.37;0.99124;-0.07;1;-0.08;1;-0.15;1
SAUSA300_RS08405;hrcA;heat-inducible transcriptional repressor HrcA;-1.24;0.85259;-1.07;0.89186;-0.65;1;-2.27;0.59265
SAUSA300_RS08410;hemW;radical SAM family heme chaperone HemW;0.23;1;-0.11;1;-0.19;0.91805;-0.06;1
SAUSA300_RS08420;lepA;translation elongation factor 4;-0.59;0.99554;-0.08;1;0.1;1;-0.68;0.83319
SAUSA300_RS08425;rpsT;30S ribosomal protein S20;0.15;1;0.45;0.9686;0.27;1;0.47;1
SAUSA300_RS08430;holA;DNA polymerase III subunit delta;0.74;1;0.12;1;1.26;0.67522;0.5;1
SAUSA300_RS08435;-;DNA internalization-related competence protein ComEC/Rec2;0.21;0.99554;-0.3;0.46255;-0.14;0.96469;-0.07;1
SAUSA300_RS08440;-;ComE operon protein 2;-0.43;0.99946;-0.04;1;0;1;-0.09;1
SAUSA300_RS08445;-;ComEA family DNA-binding protein;0.24;1;-0.38;0.91776;-0.39;0.91805;-0.09;1
SAUSA300_RS08450;-;class I SAM-dependent methyltransferase;0.66;0.94265;0.64;0.10292;0.84;0.04588;1;0.00501
SAUSA300_RS08455;rsfS;ribosome silencing factor;0.72;1;0.05;1;0.08;1;-0.03;1
SAUSA300_RS08460;yqeK;bis(5'-nucleosyl)-tetraphosphatase (symmetrical) YqeK;-0.12;1;1.6;0.02526;1.79;0;1.97;0
SAUSA300_RS08475;aroE;shikimate dehydrogenase;0.91;1;2.65;0.00693;3.24;0;2.91;0
SAUSA300_RS08500;-;hypothetical protein;-0.11;1;-0.56;0.8327;-0.47;0.90823;-0.41;0.84379
SAUSA300_RS08505;sel26;staphylococcal enterotoxin type 26;0.57;0.91262;0.44;0.24951;0.66;0.27013;0.29;0.60801
SAUSA300_RS08510;-;Fic family protein;0.35;0.8632;-0.05;1;-0.06;1;-0.07;1
SAUSA300_RS08515;-;divalent metal cation transporter;-0.05;1;0.12;1;0.24;0.9646;0.23;0.90306
SAUSA300_RS08520;pxpA;5-oxoprolinase subunit PxpA;0.96;0.98197;0.85;0.43489;0.77;0.8348;0.38;1
SAUSA300_RS08525;-;acetyl-CoA carboxylase biotin carboxylase subunit;0.35;1;0.16;1;-0.08;1;0.13;1
SAUSA300_RS08530;-;acetyl-CoA carboxylase biotin carboxyl carrier protein subunit;1.09;0.56282;0.07;1;0.29;0.98416;0.1;1
SAUSA300_RS08535;-;biotin-dependent carboxyltransferase family protein;1.22;0.56282;0.72;0.02941;1.04;0;0.57;0.34172
SAUSA300_RS08540;pxpB;5-oxoprolinase subunit PxpB;0.06;1;0.08;1;0.27;0.95945;0.02;1
SAUSA300_RS08550;udk;uridine kinase;1.67;0.63928;0.02;1;0.11;1;0;1
SAUSA300_RS08555;-;U32 family peptidase;-1.1;0.56282;-0.65;0.77285;0.26;0.99975;0.04;1
SAUSA300_RS08560;-;U32 family peptidase;0.26;1;-0.72;0.26686;-0.67;0.37959;-0.65;0.32488
SAUSA300_RS08565;-;O-methyltransferase;0.7;0.85259;-0.43;0.64282;-0.35;0.88965;-0.07;1
SAUSA300_RS08570;-;DUF1292 domain-containing protein;1.33;0.88771;-1.37;0.61467;0.03;1;-0.51;1
SAUSA300_RS08590;-;ATP-dependent RecD-like DNA helicase;0.63;0.63928;0.22;0.90175;0.79;0.00739;0.19;0.96793
SAUSA300_RS08595;-;tetratricopeptide repeat protein;0.33;1;0.54;0.61467;0.68;0.49084;-0.08;1
SAUSA300_RS08600;mnmA;tRNA 2-thiouridine(34) synthase MnmA;-2.38;0.77745;-1.05;0.8569;-1.19;0.87315;-1.44;0.7329
SAUSA300_RS08610;-;LLM class flavin-dependent oxidoreductase;0.17;1;-0.16;1;0.1;1;-0.19;1
SAUSA300_RS08615;-;SAS049 family protein;-0.9;1;0.26;1;0.1;1;-0.7;1
SAUSA300_RS08620;-;CsbD family protein;-3.85;0.76439;0.95;0.78619;1.4;0.35745;0.46;1
SAUSA300_RS08625;-;Rrf2 family transcriptional regulator;0.74;1;2.13;0.16194;1.03;0.76849;1.51;0.37872
SAUSA300_RS08630;-;replication-associated recombination protein A;-1.14;0.42964;-0.51;0.61467;-0.23;0.9968;-0.45;0.67537
SAUSA300_RS08635;-;tRNA threonylcarbamoyladenosine dehydratase;-0.98;0.64902;-0.81;0.52664;-0.9;0.44542;-0.64;0.71063
SAUSA300_RS08640;-;hypothetical protein;2.01;0;0.33;1;0.15;1;-0.06;1
SAUSA300_RS08665;-;bifunctional (p)ppGpp synthetase/guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase;-0.62;1;-0.51;0.99283;-1;0.87299;-0.17;1
SAUSA300_RS08670;-;adenine phosphoribosyltransferase;0.71;1;-0.04;1;0.1;1;-0.24;1
SAUSA300_RS08675;recJ;single-stranded-DNA-specific exonuclease RecJ;-0.33;0.81531;-0.25;0.41821;0.09;1;-0.32;0.36219
SAUSA300_RS08680;secDF;protein translocase subunit SecDF;0.42;1;1.1;0.30895;1.45;0.11945;1.01;0.30075
SAUSA300_RS08685;yajC;preprotein translocase subunit YajC;0.25;1;-0.65;0.39778;-0.52;0.61022;-0.56;0.59265
SAUSA300_RS08690;tgt;tRNA guanosine(34) transglycosylase Tgt;0.7;0.74329;0.08;1;-0.01;1;0.13;1
SAUSA300_RS08695;queA;tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA;0.13;1;-0.21;0.94065;0.18;1;-0.14;1
SAUSA300_RS08710;-;ACT domain-containing protein;2.21;1;-0.15;1;0.29;1;1.02;1
SAUSA300_RS08735;mreD;rod shape-determining protein MreD;0.51;1;-0.05;1;0.48;0.67522;0.16;1
SAUSA300_RS08740;mreC;rod shape-determining protein MreC;0.06;1;0.04;1;0.5;0.63197;0.79;0.12937
SAUSA300_RS08745;-;hypothetical protein;-3.48;1;3.14;0.61467;4.12;0.16145;5.25;0.36219
SAUSA300_RS08750;-;DUF4930 family protein;1.22;0.44369;-0.37;0.95324;0.3;1;0.1;1
SAUSA300_RS08755;-;hypothetical protein;-1.31;0.84393;-0.12;1;0;1;-0.24;1
SAUSA300_RS08760;radC;DNA repair protein RadC;1.26;0.64902;-0.13;1;0.6;0.69942;0.27;0.98563
SAUSA300_RS08765;-;A24 family peptidase;0.6;0.77745;-0.17;1;0.05;1;-0.15;1
SAUSA300_RS08785;-;DNA-3-methyladenine glycosylase I;-0.78;0.49902;0.16;1;-0.17;1;-0.07;1
SAUSA300_RS08790;-;AbrB family transcriptional regulator;0.6;0.62937;-0.32;0.78619;-0.31;0.74561;-0.35;0.65789
